state, cocktail
Alabama, Hurricane
Alaska, Whiskey Sour
Arizona, Paloma
Arkansas, Frozen Daiquiri
California, Paloma
Colorado, Hurricane
Connecticut, Margarita
Delaware, Screwdriver
District of Columbia, Old Fashioned 
Florida, Cuba Libre
Georgia, Sazerac
Hawaii, Lemon Drop Martini
Idaho, Kamikaze
Illinois, Manhattan
Indiana, French 75
Iowa, Kamikaze
Kansas, Screwdriver
Kentucky, Lily
Louisiana, Bushwacker
Maine, Margarita
Maryland, Kamikaze
Massachusetts, Old Fashioned
Michigan, Cosmo
Minnesota, Oliveto 
Mississippi, Painkiller
Missouri, Gin and Tonic 
Montana, Blue Hawaiian 
Nebraska, Old Fashioned
Nevada, Grasshopper
New Hampshire, Old Fashioned
New Jersey, Manhattan
New Mexico, Old Fashioned
New York, Manhattan
North Carolina, Bushwacker
North Dakota, Kamikaze
Ohio, Boulevardier
Oklahoma, Black Russian
Oregon, Old Fashioned
Pennsylvania, Whiskey Sour 
Rhode Island, Cosmo 
South Carolina, Tequila Sunrise
South Dakota, Screwdriver
Tennessee, Buschwacker
Texas, Paloma
Utah, Cape Cod
Vermont, Cosmopolitan
Virginia, Old Fashioned
Washington, Old Fashioned
West Virginia, Kamikaze
Wisconsin, Grasshopper
Wyoming, White Russian